year,month,total
2016,1,206311
2016,2,208040
2016,3,209583
2016,4,211128
2016,5,212399
2016,6,214058
2016,7,215847
2016,8,219179
2016,9,221869
2016,10,224694
2016,11,228015
2016,12,230199
2017,1,232438
2017,2,235403
2017,3,237603
2017,4,238992
2017,5,240418
2017,6,242182
2017,7,243942
2017,8,246976
2017,9,249474
2017,10,251982
2017,11,255568
2017,12,257982
2018,1,261426
2018,2,263481
2018,3,265366
2018,4,266970
2018,5,268353
2018,6,269839
2018,7,271904
2018,8,274773
2018,9,277394
2018,10,280214
2018,11,285036
2018,12,287132
2019,1,289599
2019,2,291586
2019,3,293481
2019,4,295036
2019,5,296546
2019,6,297992
2019,7,300439
2019,8,303341
2019,9,306124
2019,10,308841
2019,11,313723
2019,12,315979
2020,1,318708
2020,2,320769
2020,3,322547
2020,4,323770
2020,5,325121
2020,6,327161
2020,7,330306
2020,8,333844
2020,9,337300
2020,10,340628
2020,11,346057
2020,12,349055
2021,1,352344
2021,2,355213
2021,3,358022
2021,4,359788
2021,5,361474
2021,6,363775
2021,7,367242
2021,8,370767
2021,9,374650
2021,10,378030
2021,11,383919
2021,12,386913
2022,1,389718
2022,2,391624
2022,3,393908
2022,4,395786
2022,5,399223
2022,6,401306
2022,7,403087
2022,8,406086
2022,9,410057
2022,10,413053
2022,11,418068
2022,12,420596
2023,1,423222
2023,2,425379
2023,3,427625
2023,4,429106
2023,5,430608
2023,6,432547
2023,7,434953
