event_year,breed_type,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals
2010,Beef,0,0,21,50,87,173.0,173,10379
2010,Dairy,0,0,20,41,67,137.5,207,156042
2011,Beef,0,0,22,51,87,146.0,146,10639
2011,Dairy,0,0,19,40,66,136.5,189,156326
2012,Beef,0,0,21,49,85,172.0,172,11076
2012,Dairy,0,0,19,39,65,134.0,163,155225
2013,Beef,0,0,23,49,86,180.5,196,12737
2013,Dairy,0,0,19,39,64,131.5,223,150738
2014,Beef,0,0,23,50,87,181.0,181,13046
2014,Dairy,0,0,19,39,63,129.0,186,146041
2015,Beef,0,0,23,51,87,183.0,189,13053
2015,Dairy,0,0,20,40,63,127.5,190,142647
2016,Beef,0,0,23,50,85,178.0,203,13827
2016,Dairy,0,0,20,40,64,130.0,213,140709
2017,Beef,0,0,24,52,88,184.0,214,13697
2017,Dairy,0,0,20,41,66,135.0,234,134370
2018,Beef,0,0,25,54,90,187.5,221,14866
2018,Dairy,0,0,20,41,67,137.5,223,140273
2019,Beef,0,0,23,52,89,188.0,231,15826
2019,Dairy,0,0,20,41,66,135.0,229,136609
2020,Beef,0,0,24,52,89,186.5,240,15694
2020,Dairy,0,0,21,41,67,136.0,226,126181
2021,Beef,0,0,24,52,89,186.5,247,16397
2021,Dairy,0,0,21,42,67,136.0,247,128627
2022,Beef,0,0,23,50,87,183.0,246,16074
2022,Dairy,0,0,21,41,67,136.0,268,130833
2023,Beef,0,0,22,50,87,184.5,261,9538
2023,Dairy,0,0,20,41,66,135.0,248,67550
