name,count,rank,year,owner_language
Luna,18,1,2016,__all__
Stella,9,2,2016,__all__
Lara,8,3,2016,__all__
Nina,7,4,2016,__all__
Bella,7,4,2016,__all__
Nevada,7,4,2016,__all__
Lola,7,4,2016,__all__
Fiona,6,8,2016,__all__
Flora,5,9,2016,__all__
Luana,5,9,2016,__all__
Luna,17,1,2017,__all__
Stella,14,2,2017,__all__
Fiona,8,3,2017,__all__
Lilly,7,4,2017,__all__
Mia,6,5,2017,__all__
Nina,6,5,2017,__all__
Lola,6,5,2017,__all__
Holly,6,5,2017,__all__
Bella,6,5,2017,__all__
Ladina,5,10,2017,__all__
Luna,15,1,2018,__all__
Etoile,6,2,2018,__all__
Nina,6,2,2018,__all__
Zora,5,4,2018,__all__
Lena,5,4,2018,__all__
Bella,5,4,2018,__all__
Nikita,5,4,2018,__all__
Surprise,5,4,2018,__all__
Lara,5,4,2018,__all__
Felicia,5,4,2018,__all__
Luna,12,1,2019,__all__
Sina,8,2,2019,__all__
Lia,7,3,2019,__all__
Nina,7,3,2019,__all__
Fiona,6,5,2019,__all__
Nora,6,5,2019,__all__
Samira,5,7,2019,__all__
Etoile,5,7,2019,__all__
Mia,5,7,2019,__all__
Luna,8,1,2020,__all__
Nina,7,2,2020,__all__
Nala,7,2,2020,__all__
Ella,6,4,2020,__all__
Corona,5,5,2020,__all__
Nevada,5,5,2020,__all__
Luna,17,1,2021,__all__
Lisa,6,2,2021,__all__
Stella,6,2,2021,__all__
Bella,5,4,2021,__all__
Lina,5,4,2021,__all__
Luna,8,1,2022,__all__
Stella,7,2,2022,__all__
Lilly,6,3,2022,__all__
Holly,5,4,2022,__all__
Nirvana,5,4,2022,__all__
Luna,7,1,2023,__all__
Luna,13,1,2016,de
Lara,6,2,2016,de
Fiona,6,2,2016,de
Luana,5,4,2016,de
Stella,5,4,2016,de
Nina,5,4,2016,de
Nevada,5,4,2016,de
Luna,12,1,2017,de
Lilly,7,2,2017,de
Mia,6,3,2017,de
Fiona,5,4,2017,de
Nina,5,4,2017,de
Luana,5,4,2017,de
Leika,5,4,2017,de
Luna,10,1,2018,de
Lena,5,2,2018,de
Luna,9,1,2019,de
Sina,8,2,2019,de
Fiona,6,3,2019,de
Nora,5,4,2019,de
Lia,5,4,2019,de
Mia,5,4,2019,de
Samira,5,4,2019,de
Nala,7,1,2020,de
Luna,6,2,2020,de
Ella,5,3,2020,de
Luna,13,1,2021,de
Luna,6,1,2022,de
Holly,5,2,2022,de
Lilly,5,2,2022,de
Lola,5,1,2016,fr
Etoile,5,1,2018,fr
Etoile,5,1,2019,fr
Stella,5,1,2022,fr
Nirvana,5,1,2022,fr
Stella,6,1,2017,it
