year,month,total,ch,fl,abroad
2016,1,41541,40698,212,2029
2016,2,41626,40796,214,2014
2016,3,41808,40990,211,1999
2016,4,41966,41154,211,2014
2016,5,42152,41339,207,2021
2016,6,42281,41460,200,2030
2016,7,42333,41515,203,2035
2016,8,42382,41545,204,2043
2016,9,42391,41548,200,2053
2016,10,42594,41731,196,2089
2016,11,42633,41735,194,2119
2016,12,42823,41901,191,2162
2017,1,43255,42330,194,2173
2017,2,43358,42437,192,2170
2017,3,43542,42620,193,2147
2017,4,43655,42741,197,2107
2017,5,43725,42831,197,2092
2017,6,43837,42941,198,2073
2017,7,43877,42982,197,2066
2017,8,43890,42993,201,2043
2017,9,43903,42984,203,2038
2017,10,44056,43140,207,2029
2017,11,44057,43121,205,1995
2017,12,44085,43132,206,2001
2018,1,44192,43265,208,1983
2018,2,44332,43416,205,1957
2018,3,44490,43578,206,1938
2018,4,44559,43654,206,1907
2018,5,44663,43760,212,1891
2018,6,44771,43872,213,1875
2018,7,44829,43922,212,1856
2018,8,44895,43996,210,1841
2018,9,44872,43953,211,1830
2018,10,44977,44033,210,1841
2018,11,44992,44038,213,1818
2018,12,44972,44029,213,1771
2019,1,45020,44114,207,1749
2019,2,45074,44177,207,1748
2019,3,45120,44244,210,1734
2019,4,45169,44346,207,1709
2019,5,45245,44426,206,1708
2019,6,45297,44479,216,1710
2019,7,45342,44534,212,1700
2019,8,45404,44594,209,1694
2019,9,45424,44559,208,1752
2019,10,45485,44602,210,1782
2019,11,45510,44623,208,1774
2019,12,45426,44538,210,1783
2020,1,45446,44558,208,1798
2020,2,45442,44575,204,1803
2020,3,45551,44722,200,1744
2020,4,45622,44835,200,1688
2020,5,45775,45011,203,1650
2020,6,45912,45147,207,1635
2020,7,46003,45239,207,1641
2020,8,46110,45339,207,1624
2020,9,46093,45325,201,1621
2020,10,46200,45403,203,1650
2020,11,46243,45428,202,1653
2020,12,46242,45437,199,1640
2021,1,46342,45532,204,1623
2021,2,46406,45599,202,1632
2021,3,46476,45690,200,1603
2021,4,46593,45814,199,1593
2021,5,46717,45954,197,1585
2021,6,46771,46026,197,1550
2021,7,46775,46026,199,1537
2021,8,46799,46055,198,1537
2021,9,46755,45996,203,1536
2021,10,46852,46085,201,1549
2021,11,46783,46001,198,1579
2021,12,46747,45966,197,1569
2022,1,46791,46036,199,1552
2022,2,46786,46037,198,1541
2022,3,46800,46056,198,1539
2022,4,46881,46145,199,1545
2022,5,46979,46227,200,1558
2022,6,46969,46223,200,1552
2022,7,47019,46257,207,1563
2022,8,46976,46227,206,1553
2022,9,46883,46100,203,1588
2022,10,46907,46101,207,1607
2022,11,46869,46088,207,1599
2022,12,46831,46050,207,1592
2023,1,46833,46052,205,1608
2023,2,46819,46043,208,1591
2023,3,46853,46086,206,1593
2023,4,46858,46119,205,1543
2023,5,46872,46147,204,1517
2023,6,46871,46143,204,1534
2023,7,46821,46110,203,1519
