year,month,total
2020,1,11108
2020,2,18181
2020,3,15179
2020,4,5801
2020,5,2126
2020,6,821
2020,7,463
2020,8,882
2020,9,1096
2020,10,2249
2020,11,1533
2020,12,3068
2021,1,12498
2021,2,18761
2021,3,16112
2021,4,7371
2021,5,2855
2021,6,1245
2021,7,652
2021,8,1113
2021,9,1575
2021,10,2200
2021,11,1444
2021,12,2928
2022,1,11940
2022,2,19268
2022,3,16252
2022,4,7119
2022,5,2868
2022,6,1048
2022,7,655
2022,8,1240
2022,9,1276
2022,10,1853
2022,11,1269
2022,12,2240
2023,1,10691
2023,2,18460
2023,3,17323
2023,4,6335
2023,5,2125
2023,6,726
2023,7,243
