year,month,deaths
2020,1,0.0
2020,2,8.0
2020,3,
2020,4,12.0
2020,5,136.0
2020,6,688.0
2020,7,903.0
2020,8,1019.0
2020,9,2139.0
2020,10,643.0
2020,11,97.0
2020,12,40.0
2021,1,19.0
2021,2,
2021,3,41.0
2021,4,
2021,5,95.0
2021,6,531.0
2021,7,871.0
2021,8,1215.0
2021,9,2209.0
2021,10,1007.0
2021,11,105.0
2021,12,62.0
2022,1,14.0
2022,2,11.0
2022,3,7.0
2022,4,18.0
2022,5,121.0
2022,6,852.0
2022,7,964.0
2022,8,1339.0
2022,9,2316.0
2022,10,864.0
2022,11,232.0
2022,12,197.0
2023,1,18.0
2023,2,0.0
2023,3,41.0
2023,4,20.0
2023,5,116.0
2023,6,711.0
2023,7,550.0
